2024-05-28 12:59:23,822:INFO:Product ID: 97, Score: 11
2024-05-28 12:59:23,822:INFO:Product ID: 98, Score: 172
2024-05-28 12:59:23,822:INFO:Product ID: 99, Score: 4
2024-05-28 12:59:23,822:INFO:Product ID: 100, Score: 6
2024-05-28 12:59:23,822:INFO:Product ID: 101, Score: 170
2024-05-28 12:59:23,822:INFO:Product ID: 102, Score: 20
2024-05-28 12:59:23,822:INFO:Product ID: 103, Score: 171
2024-05-28 12:59:23,822:INFO:Product ID: 104, Score: 25
2024-05-28 12:59:23,822:INFO:Product ID: 105, Score: 2
2024-05-28 12:59:23,822:INFO:Product ID: 106, Score: 12
2024-05-28 12:59:23,823:INFO:Product ID: 107, Score: 8
2024-05-28 12:59:23,823:INFO:Product ID: 108, Score: 172
2024-05-28 12:59:23,823:INFO:Product ID: 109, Score: 25
2024-05-28 12:59:23,823:INFO:Product ID: 110, Score: 11
2024-05-28 12:59:23,823:INFO:Product ID: 111, Score: 2
2024-05-28 12:59:23,823:INFO:Product ID: 112, Score: 3
2024-05-28 12:59:23,823:INFO:Product ID: 113, Score: 2
2024-05-28 12:59:23,823:INFO:Product ID: 114, Score: 2
2024-05-28 12:59:23,823:INFO:Product ID: 115, Score: 21
2024-05-28 12:59:23,824:INFO:Product ID: 116, Score: 35
2024-05-28 12:59:23,824:INFO:Product ID: 117, Score: 26
2024-05-28 12:59:23,824:INFO:Product ID: 118, Score: 4
2024-05-28 12:59:23,824:INFO:Product ID: 119, Score: 11
2024-05-28 12:59:23,824:INFO:Product ID: 120, Score: 24
2024-05-28 12:59:23,824:INFO:Product ID: 121, Score: 34
2024-05-28 12:59:23,824:INFO:Product ID: 122, Score: 28
2024-05-28 12:59:23,824:INFO:Product ID: 123, Score: 23
2024-05-28 12:59:23,824:INFO:Product ID: 124, Score: 21
2024-05-28 12:59:23,825:INFO:Product ID: 125, Score: 35
2024-05-28 12:59:23,825:INFO:Product ID: 126, Score: 21
2024-05-28 12:59:23,825:INFO:Product ID: 127, Score: 23
2024-05-28 12:59:23,825:INFO:Product ID: 128, Score: 35
2024-05-28 12:59:23,825:INFO:Product ID: 129, Score: 21
2024-05-28 12:59:23,825:INFO:Product ID: 130, Score: 13
2024-05-28 12:59:23,825:INFO:Product ID: 131, Score: 29
2024-05-28 12:59:23,826:INFO:Product ID: 132, Score: 45
2024-05-28 12:59:23,826:INFO:Product ID: 133, Score: 15
