deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)  (8 GB RAM)",https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itmfda5356da5277?pid=MOBHYFPPXVTWRUEW&lid=LSTMOBHYFPPXVTWRUEWKVAZQF&marketplace=FLIPKART&store=tyy&srno=b_1_31&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6JEwvj94n4t1j9BN-bcajdZ_qEYKi6vBO96h125hq9Hv1hWlg14bXFG9tZ2S67Bqg0%3D&ssid=trqyjrmaa80000001715182870897,4.2,243,17999,14999,16,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,SAMSUNG Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'SAMSUNG Mobiles']",Samsung Galaxy F15: Redefining Smartphone BrillianceUnmatched Endurance: A Battery That LastsPerformance Beyond BoundariesImmersive AudioSeamless ConnectivityFast and Furious: Superfast 5G Speeds in 13 BandsCapture Every Detail: 50 MP Triple CameraFun-filled SelfiesVault of Security: Samsung Knox Vault ChipsetSmart UI for Fun Living: Call Background Customisation,"[{'rating': '4', 'comment_text': 'Nice 🤠........READ MORE'}, {'rating': '5', 'comment_text': 'Really amazing purchaseREAD MORE'}, {'rating': '4', 'comment_text': 'Good samsung mobile at this price range only thing is device weigh bit heavy bec of 6000 mah battery. Overall worth for moneyREAD MORE'}, {'rating': '5', 'comment_text': 'Value for moneyREAD MORE'}, {'rating': '1', 'comment_text': 'Over heat, charging very slowly, camer not goodREAD MORE'}, {'rating': '5', 'comment_text': 'Best camera samsung f15 .I really like it .i also test games with the phone good experienceREAD MORE'}, {'rating': '1', 'comment_text': 'Battery drainingREAD MORE'}, {'rating': '5', 'comment_text': 'All rounder mobile,No 1 ,features, low,price1Display Amoled2 Batery 60003 Andorid 144 security update 4 years (important)5 Ram 8 Gb6 quick charge7 mediatek hig performance prossesor in this amountEverything okREAD MORE'}, {'rating': '4', 'comment_text': 'This range camera was good.READ MORE'}, {'rating': '4', 'comment_text': 'Good enough for the price. Will know more after using for a while.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX82VVQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-9,4,526,13999,10499,25,3500,[],Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']",Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74 HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery 6.74" HD+ 90Hz display with Corning Gorilla Glass 3 Protection, 600nits in High Brightness mode 50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Flipkart SmartBuy USB Type C Cable 8 A 0.99 m Silver Wrap 1 m OEM 65W-10W/6.5A VOOC/WARP/DASH/DASH/SUPERVOOC/SUPERDART CHARGER CABLE  (Compatible with oppo,realme,narzo,oneplus,vivo,iqoo,samsung,motorola,mi,redmi,poco, Red, White, One Cable)",https://www.flipkart.com/flipkart-smartbuy-usb-type-c-cable-8-0-99-m-silver-wrap-1-oem-65w-10w-6-5a-vooc-warp-dash-dash-supervooc-superdart-charger/p/itmde429c9caffad?pid=ACCGXAV7FTM9NUAR&lid=LSTACCGXAV7FTM9NUARHNYH71&marketplace=FLIPKART&store=tyy&spotlightTagId=TrendingId_tyy&srno=b_1_20&otracker=browse&fm=organic&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.ACCGXAV7FTM9NUAR.SEARCH&ppt=browse&ppn=browse&ssid=trqyjrmaa80000001715182870897,4.1,1770,999,199,80,800,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹1,250 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get at flat ₹199'}]",Mobiles & Accessories,Mobile Accessories,Mobile Cables,Flipkart SmartBuy Mobile Cables,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Mobile Cables', 'Flipkart SmartBuy Mobile Cables']",,"[{'rating': '5', 'comment_text': 'Yes value for money fast charging support 💖Upto 65 waatREAD MORE'}, {'rating': '4', 'comment_text': 'NiceREAD MORE'}, {'rating': '5', 'comment_text': 'Very goodREAD MORE'}, {'rating': '1', 'comment_text': 'Very waste, not useful than the moneyREAD MORE'}, {'rating': '4', 'comment_text': 'NiceREAD MORE'}, {'rating': '4', 'comment_text': 'I am using Realme gt ME.This cable is working for 65w ChargerREAD MORE'}, {'rating': '5', 'comment_text': 'Support 67 watt charging. Like itREAD MORE'}, {'rating': '5', 'comment_text': 'Gd quality and affordable.fast charging also good 😊READ MORE'}, {'rating': '5', 'comment_text': 'Just amazing wherever strong material wire just like one plus😍READ MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Apple 20W ,USB-C Power Charging Adapter for iPhone, iPad & AirPods  (White)",https://www.flipkart.com/apple-20w-usb-c-power-charging-adapter-iphone-ipad-airpods/p/itm692bb2cec57f7?pid=ACCFWSKQJ8GS6DA7&lid=LSTACCFWSKQJ8GS6DA7L9M0MF&marketplace=FLIPKART&store=tyy&spotlightTagId=BestsellerId_tyy&srno=b_1_4&otracker=browse&fm=organic&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.ACCFWSKQJ8GS6DA7.SEARCH&ppt=browse&ppn=browse&ssid=trqyjrmaa80000001715182870897,4.6,276624,1900,1699,10,201,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹1,250 on orders of ₹5,000 and above'}]",Mobiles & Accessories,Mobile Accessories,Mobile Chargers,Wall Chargers,Apple Wall Chargers,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Mobile Chargers', 'Wall Chargers', 'Apple Wall Chargers']",,"[{'rating': '5', 'comment_text': 'I was very hesitant about this product. But I am happy that I got a genuine product and not a copy cat...Things to verify for Authenticity: 1. The image of adapter on the box should be of highest quality without any blurring or pixelation.2. The sticker on the back with details should be having a font of both bold and regular characters.3. The Bis certification should be there at the bottom of the box for all products sold in India.4. The font and Apple logo used inside the adapter sho...READ MORE'}, {'rating': '5', 'comment_text': 'Nice Product.READ MORE'}, {'rating': '5', 'comment_text': 'Ordered it for Iphone 11 and well i ll like to say it works perfectly fine with it.The phone gets hot if you push it to 100 percent battery and if you dont it is just a gem.Would recommend everyone who wants a quick charge.READ MORE'}, {'rating': '4', 'comment_text': 'iPhone 11 30min 60% charge 🥳🥳READ MORE'}, {'rating': '5', 'comment_text': '100 % original charger charging speed is awsmREAD MORE'}, {'rating': '1', 'comment_text': 'I have ordered both iPhone13 &charger mobile came on promised date adapter came on after 1 week what should I do with mobile unless ur not providing adaptorFirst fault person is apple this much of amount we are spending even charger not provided in box apple re think ur decision once please provide charger for whom required for whom not required If person what’s a charger package price will be different if person don’t want charger reduce the price for them This is the way u guys can thin...READ MORE'}, {'rating': '5', 'comment_text': 'Original 💯 %READ MORE'}, {'rating': '5', 'comment_text': 'The charger does its good job fast charging totally satisfied good packing by flipkart.READ MORE'}, {'rating': '4', 'comment_text': 'Charger is good iam using iPhone 11 ,the phone takes 0to 100 percentage just 1.3 hrs but the phone has heating issues.I used 3months in this charger battery health is 97percentageREAD MORE'}, {'rating': '5', 'comment_text': 'Super Fast ChargerREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Apple iPhone 13 (128GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_26?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-26,4.6,26558,59900,48499,19,11401,[],,,,,,,,[],"15 cm (6.1-inch) Super Retina XDR display Cinematic mode adds shallow depth of field and shifts focus automatically in your videos Advanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording 12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording A15 Bionic chip for lightning-fast performance",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Flipkart SmartBuy USB Type C Cable 8 A 1 m Silver Wrap OEM 65W-10W/6.5A VOOC/WARP/DASH/SUPERVOOC/SUPERDART CHARGER  (Compatible with oppo,realme,narzo,oneplus,vivo,iqoo,samsung,motorola,mi,redmi,poco, Red, White, One Cable)",https://www.flipkart.com/flipkart-smartbuy-usb-type-c-cable-8-1-m-silver-wrap-oem-65w-10w-6-5a-vooc-warp-dash-supervooc-superdart-charger/p/itm617e66d574ea4?pid=ACCGXAV7Z868V64N&lid=LSTACCGXAV7Z868V64NMNDSVH&marketplace=FLIPKART&store=tyy&srno=b_1_15&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.ACCGXAV7Z868V64N.SEARCH&ssid=trqyjrmaa80000001715182870897,4.1,1770,999,199,80,800,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹1,250 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get at flat ₹199'}]",Mobiles & Accessories,Mobile Accessories,Mobile Cables,Flipkart SmartBuy Mobile Cables,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Mobile Cables', 'Flipkart SmartBuy Mobile Cables']",65 Watt VOOC Cable8 AMP Fast ChargingTurbo Charging6 Core CableType-C to USB Cable,"[{'rating': '5', 'comment_text': 'Yes value for money fast charging support 💖Upto 65 waatREAD MORE'}, {'rating': '4', 'comment_text': 'NiceREAD MORE'}, {'rating': '5', 'comment_text': 'Very goodREAD MORE'}, {'rating': '1', 'comment_text': 'Very waste, not useful than the moneyREAD MORE'}, {'rating': '4', 'comment_text': 'NiceREAD MORE'}, {'rating': '4', 'comment_text': 'I am using Realme gt ME.This cable is working for 65w ChargerREAD MORE'}, {'rating': '5', 'comment_text': 'Support 67 watt charging. Like itREAD MORE'}, {'rating': '5', 'comment_text': 'Gd quality and affordable.fast charging also good 😊READ MORE'}, {'rating': '5', 'comment_text': 'Just amazing wherever strong material wire just like one plus😍READ MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)  (6 GB RAM)",https://www.flipkart.com/samsung-galaxy-f14-5g-goat-green-128-gb/p/itm032d1a69999cc?pid=MOBGNBFNDPGNJ7HY&lid=LSTMOBGNBFNDPGNJ7HYRCCFUH&marketplace=FLIPKART&store=tyy&srno=b_1_39&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGNBFNDPGNJ7HY.SEARCH&ssid=trqyjrmaa80000001715182870897,4.2,101515,18490,9490,48,9000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra ₹9000 off (price inclusive of cashback/coupon)'}, {'type': 'Freebie', 'description': 'Flat ₹1000 off on Cleartrip hotels booking along with 300 supercoins on booking'}]",Mobiles & Accessories,Mobiles,SAMSUNG Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'SAMSUNG Mobiles']",5nm ProcessorPowerful Battery5G ConnectivityLarge DisplayOne UIConstant UpdatesAttractive PhotosEnhanced SecurityVoice FocusSamsung WalletLarge Storage Space,"[{'rating': '4', 'comment_text': 'Honestly Very impressive package Pros :1. Display very good 5/4.72. Battery very good 5/4.63. Performance higher 5/4.54. Software top level 5/55. Security top level 5/56. Design Average 5/3.57. Camera Excellent 5/4.98. Charging cable: type C to type CCons:1. No dual speakers2. Old waterdrop notch3. Fingureprint sensor should be better4. No extra features in camera5. There is no adaptor in the boxREAD MORE'}, {'rating': '4', 'comment_text': 'Phone is good. However, i cant get a suitable back cover to protect the phone in flipkart for this model. Atleast agency should have provided back cover along with phone which doesnt cost muchREAD MORE'}, {'rating': '5', 'comment_text': 'Superb mobile Good productBattery 5/5Camera 4/5Display. 4/5Performance 4.5/5Worth..✌READ MORE'}, {'rating': '4', 'comment_text': 'Photos are cool 😎 👌 ☺️ ✨️ but charging are slow in processREAD MORE'}, {'rating': '5', 'comment_text': Review after some days useProsDisplay - Pls Lcd is brighter than TFT LCDDesign - it's plastic built with glassy lookVariant - 6 GB is more smoother than 4 GBChipset - Exynos 1330 more battery efficient and latest 5nm technology chip for multitaskingBattery - 6000 MAH for lasting 2 days with normal usageCamera - primary and selfie both are decent at this price rangeSoftware - one UI 5.1 with Android 13 you can customize many things it has own unique featuresCons In the box you get o...READ MORE""}", {'rating': '5', 'comment_text': 'Good camera QualityREAD MORE'}, {'rating': '5', 'comment_text': 'Decent camera quality. The adaptor to the charger shall not be provided with the phone. I ordered the Samsung 25W charger. I am very much impressed by the super charing feature. The phone gets charged very fast and the battery lasts very long. The diaplay is amazing. Soft and smooth screen. Very fast performance. Overall i like the phone. I hope its durable too.READ MORE'}, {'rating': '4', 'comment_text': 'Phone is good but heavy Camera 7/10Battery 10/10Design 4/10Performance 8/10Connectivity 7/10READ MORE'}, {'rating': '5', 'comment_text': 'Excellent model by samsungREAD MORE'}, {'rating': '5', 'comment_text': 'Awesome product, my father-in-low is so happy with this mobile , easy to use , light weight design ,I happy to see him happyREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,
48,"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Surge-128GB-Storage/dp/B0C9QS5G2R/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-8,4.1,3517,26999,20999,22,6000,"['Upto ₹1,172.49 EMI interest savings on select Credit Cards, Amazon Pay LaterUpto ₹1,172.49 EMI interest savings on select Credit Cards…', 'Upto ₹2,000.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹2,000.00 discount on select Credit Cards, HDFC…', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Camera: 50MP Main Camera with Sony IMX890 (OIS supported), 8MP Ultrawide Camera with Sony IMX355 (FOV: 112 degree) and 2MP Macro lens; 16MP Front (Selfie) Camera Camera Features: Ultra Steady Mode, Dual-view Video, HDR, Nightscape, Portrait Mode, Video Portrait, Pano, Macro, Slo-mo, Time-lapse, Text-scanner, Retouching, Filters, Google Lens, Extra HD, Pro Mode Display: 6.7 Inches; 120 Hz AMOLED FHD+, Resolution: 2412 x 1080 pixels; HDR 10+, sRGB, 10-bit Color Depth, 93.4% Screen to body ratio Operating System: OxygenOS 13 based on Android 13.1 Processor: Qualcomm Snapdragon 782G Mobile Platform",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSNTT4/ref=sr_1_22?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-22,4,22220,18990,9999,47,8991,"['Upto ₹558.29 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Amazon Pay LaterUpto ₹558.29 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹1.00 discount on Axis Bank Credit CardsUpto ₹1.00 discount on Axis Bank Credit Cards', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Superfast 5G with 13 5G Bands, Powerful Exynos 1330 Octa Core 2.4GH 5nm processor with latest Android 13 having One UI 5.0 interface 50MP+2MP+2MP Triple camera setup- True 50MP (F1.8) main camera + 2MP (F2.4) + 2MP (F2.4)| 13MP (F2.0) front camera 6000mAh lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase 16.72 centimeters (6.6-inch) LCD, FHD+ resolution with 1080 x 2408 pixels resolution, 401 PPI with 16M color Get up to 2 times of Android Updates & 4 times of Security Updates with Samsung Galaxy M14 5G.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Redmi 12 5G Jade Black 6GB RAM 128GB ROM,https://www.amazon.in/Redmi-Jade-Black-6GB-128GB/dp/B0C9JFWBH7/ref=sr_1_21?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-21,4.1,3937,17999,12499,31,5500,"['Upto ₹1,000.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,000.00 discount on select Credit Cards, HDFC…', 'Upto ₹697.86 EMI interest savings on select Credit Cards, Amazon Pay LaterUpto ₹697.86 EMI interest savings on select Credit Cards…', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Snapdragon 4 Gen 2 Mobile Platform : Power efficient 4nm architecture | 12GB of RAM including 6GB Virtual Display: Large 17.24cm FHD+ 90Hz AdaptiveSync display with Corning Gorilla Glass 3 Protection Camera: 50MP f/1.8 AI Dual camera with classic film filters, Film Frame, Portrait, Night Mode, 50MP mode, Time-lapse, Google lens | 8MP Selfie camera 5000mAh(typ) battery with 22.5W charger in-box MIUI Dialer | MIUI 14 with Android 13 | Side fingerprint | IR blaster | 3.5mm Audio jack | IP53 rating",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,https://www.amazon.in/Redmi-Moonstone-Silver-6GB-128GB/dp/B0C9J9CZR6/ref=sr_1_19?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-19,4.1,2832,17999,12499,31,5500,"['Upto ₹1,000.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,000.00 discount on select Credit Cards, HDFC…', 'Upto ₹697.86 EMI interest savings on select Credit Cards, Amazon Pay LaterUpto ₹697.86 EMI interest savings on select Credit Cards…', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Snapdragon 4 Gen 2 Mobile Platform : Power efficient 4nm architecture | 12GB of RAM including 6GB Virtual Display: Large 17.24cm FHD+ 90Hz AdaptiveSync display with Corning Gorilla Glass 3 Protection Camera: 50MP f/1.8 AI Dual camera with classic film filters, Film Frame, Portrait, Night Mode, 50MP mode, Time-lapse, Google lens | 8MP Selfie camera 5000mAh(typ) battery with 22.5W charger in-box MIUI Dialer | MIUI 14 with Android 13 | Side fingerprint | IR blaster | 3.5mm Audio jack | IP53 rating",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Black.,https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-10,4.2,158778,2199,2149,2,50,"['Upto ₹96.75 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹96.75 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹1,500.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,500.00 discount on select Credit Cards, HDFC…', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Electronics,Mobiles & Accessories,Mobile Accessories,Chargers,Power Banks,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Chargers', 'Power Banks']","20000mAh Lithium Polymer battery 18W Fast Charging Triple port output Dual input port (Micro-USB/USB-C, Charging Time : 6.9 hours Power Delivery Advanced 12 Layer chip protection Smart power management 6 months domestic warranty",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
